Carimbo de data/hora (createdAt),Selecione o Piloto  (pilotId),Selecione a Fazenda (farmId),Nome do Mapa (observation) (plotId=null),Empresa (customerID),Area aplicada (Corrigida),Quantos hectares aplicados?,Selecione o dia da aplicação: (date application),Qual foi o tipo de aplicação? (productId),Selecione o seu ajudante: (assistantId),Tipo de cultura (culture-typeId),Qual drone utilizado?,Período de safra (contractId),,,,,,,,
14/06/2025 08:39,6b8a2ead-5b5d-4ae5-b9d5-784f84282a77,b160746c-24aa-4a64-9c55-2d8bd6f92ca4,TAPOAMA T31,3356f421-3a87-4566-9c0f-8154abf98a14,5,5,13/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,c9aa2564-0e7d-4444-8f1b-fc4d7386875b,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,5b36df0c-a3e0-4e67-8202-bf8f7f201554,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
14/06/2025 12:38,fd3fa4b5-d6b9-4e57-80a4-5c76aaded968,f063ce32-1144-43e6-87cc-77899c6d6d15,URUCU T10 ,3356f421-3a87-4566-9c0f-8154abf98a14,2.29,2.29,13/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,629f4fe3-b0c3-48ec-85ff-a06ad19c5312,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,9e56dd06-8d1b-4b50-96d9-05414d5a79e8,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
14/06/2025 12:40,fd3fa4b5-d6b9-4e57-80a4-5c76aaded968,f063ce32-1144-43e6-87cc-77899c6d6d15,URUCU T10 ,3356f421-3a87-4566-9c0f-8154abf98a14,2.1,2.1,13/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,629f4fe3-b0c3-48ec-85ff-a06ad19c5312,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,9e56dd06-8d1b-4b50-96d9-05414d5a79e8,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
14/06/2025 12:48,fd3fa4b5-d6b9-4e57-80a4-5c76aaded968,f063ce32-1144-43e6-87cc-77899c6d6d15,URUCU T10 ,3356f421-3a87-4566-9c0f-8154abf98a14,3.4,3.4,13/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,629f4fe3-b0c3-48ec-85ff-a06ad19c5312,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,9e56dd06-8d1b-4b50-96d9-05414d5a79e8,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
14/06/2025 12:49,fd3fa4b5-d6b9-4e57-80a4-5c76aaded968,f063ce32-1144-43e6-87cc-77899c6d6d15,URUCU T10 ,3356f421-3a87-4566-9c0f-8154abf98a14,2.99,2.99,13/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,629f4fe3-b0c3-48ec-85ff-a06ad19c5312,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,9e56dd06-8d1b-4b50-96d9-05414d5a79e8,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
14/06/2025 21:18,6322425e-1079-42ab-9130-2c9e6489db9f,f063ce32-1144-43e6-87cc-77899c6d6d15,Urucu T26,3356f421-3a87-4566-9c0f-8154abf98a14,10.14,10.14,14/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,c9aa2564-0e7d-4444-8f1b-fc4d7386875b,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,04627060-190e-4b84-afe1-4c1301f02862,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
14/06/2025 21:21,6322425e-1079-42ab-9130-2c9e6489db9f,f063ce32-1144-43e6-87cc-77899c6d6d15,Urucu T07,3356f421-3a87-4566-9c0f-8154abf98a14,5.42,5.42,14/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,c9aa2564-0e7d-4444-8f1b-fc4d7386875b,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,04627060-190e-4b84-afe1-4c1301f02862,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 09:13,7ce43fe5-d119-4eab-8bd6-695bc11b484b,f063ce32-1144-43e6-87cc-77899c6d6d15,USINA P01 (1),3356f421-3a87-4566-9c0f-8154abf98a14,2.4,2.4,13/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,84933fd7-0594-4b28-8492-d9a3d7bf88bb,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,8301353a-1ec0-4641-8d86-c33aa3087059,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 09:14,4db5c9c1-27b1-4eed-b53c-10e981da9763,f063ce32-1144-43e6-87cc-77899c6d6d15,URUCU T25,3356f421-3a87-4566-9c0f-8154abf98a14,12.09,12.09,13/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,6cd96e11-1382-4c95-a88d-926e8ed62ffb,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,e635b57b-4416-4882-be6d-e697dbba9af7,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
16/06/2025 09:14,11257492-2511-40fa-9497-7d2619e59d87,b160746c-24aa-4a64-9c55-2d8bd6f92ca4,TAPOANA T31,3356f421-3a87-4566-9c0f-8154abf98a14,9,9,13/06/2025,96cb9591-9545-4c0a-92de-f98d7772cc31,c9aa2564-0e7d-4444-8f1b-fc4d7386875b,b304edd4-6011-45ae-9fe5-24ba83a0ee4d,5b36df0c-a3e0-4e67-8202-bf8f7f201554,261de526-2e0e-4257-b226-e0b1b5bb2da7,,,,,,,,
